Symbol,Company Name,NSE Macro Sector,NSE Sector,NSE Industry,Heatmap Sector
RUBFILA,Rubfila International Limited,Basic Materials,Chemicals,Specialty Chemicals,Chemicals
RUBICON,Rubicon Research Limited,Healthcare,Pharma,Drug Manufacturers - General,Pharma & Healthcare
RUBYMILLS,The Ruby Mills Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
RUCHINFRA,Ruchi Infrastructure Limited,Industrials,Services,Specialty Business Services,Services
RUCHIRA,Ruchira Papers Limited,Basic Materials,Paper,Paper & Pulp,Paper & Pulp
RUDRA,Rudra Global Infra Products Limited,Basic Materials,Metals,Steel,Metals & Mining
RUPA,Rupa & Company Limited,Consumer Cyclical,Textile,Apparel Manufacturing,Textiles & Apparel
RUSHIL,Rushil Decor Limited,Consumer Cyclical,Consumer Goods,"Furnishings, Fixtures & Appliances",Consumer Goods
RUSTOMJEE,Keystone Realtors Limited,Real Estate,Realty,Real Estate Development,Realty
RVHL,Ravinder Heights Limited,Real Estate,Realty,Real Estate Development,Realty
RVNL,Rail Vikas Nigam Limited,Consumer Defensive,FMCG,FMCG,FMCG
RVTH,Revathi Equipment India Limited,Industrials,Capital Goods,Farm & Heavy Construction Machinery,Capital Goods
S&SPOWER,S&S Power Switchgears Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
SAATVIKGL,Saatvik Green Energy Limited,Technology,Clean Energy,Solar Technology,Energy & Power
SABEVENTS,Sab Events & Governance Now Media Limited,Communication Services,Media,Publishing,Media & Telecom
SABTNL,Sri Adhikari Brothers Television Network Limited,Communication Services,Media,Broadcasting,Media & Telecom
SADBHAV,Sadbhav Engineering Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
SADBHIN,Sadbhav Infrastructure Project Limited,Industrials,Capital Goods,Engineering & Construction,Capital Goods
SADHNANIQ,Sadhana Nitrochem Limited,Basic Materials,Chemicals,Chemicals,Chemicals
SAFARI,Safari Industries (India) Limited,Consumer Cyclical,Textile,Fashion & Textile,Textiles & Apparel
SAGARDEEP,Sagardeep Alloys Limited,Basic Materials,Metals,Copper,Metals & Mining
SAGCEM,Sagar Cements Limited,Basic Materials,Cement & Materials,Building Materials,Cement & Building
SAGILITY,SAGILITY LIMITED,Technology,IT Services & Consulting,BPO / ITeS,IT
SAHYADRI,Sahyadri Industries Limited,Industrials,Capital Goods,Building Products & Equipment,Capital Goods
SAIL,Steel Authority of India Limited,Basic Materials,Metals,Iron & Steel,Metals & Mining
SAILIFE,Sai Life Sciences Limited,Healthcare,Pharma,Pharmaceuticals,Pharma & Healthcare
SAKAR,Sakar Healthcare Limited,Healthcare,Pharma,Drug Manufacturers - Specialty & Generic,Pharma & Healthcare
SAKHTISUG,Sakthi Sugars Limited,Consumer Defensive,FMCG,Confectioners,FMCG
SAKSOFT,Saksoft Limited,Technology,IT Services & Consulting,IT Services,IT
SAKUMA,Sakuma Exports Limited,Consumer Defensive,FMCG,Farm Products,FMCG
SALASAR,Salasar Techno Engineering Limited,Basic Materials,Metals,Steel,Metals & Mining
SALONA,Salona Cotspin Limited,Consumer Cyclical,Textile,Textile Manufacturing,Textiles & Apparel
SALSTEEL,S.A.L. Steel Limited,Basic Materials,Metals,Steel,Metals & Mining
SALZERELEC,Salzer Electronics Limited,Industrials,Capital Goods,Electrical Equipment & Parts,Capital Goods
SAMBHAAV,Sambhaav Media Limited,Communication Services,Media,Publishing,Media & Telecom
SAMBHV,Sambhv Steel Tubes Limited,Basic Materials,Metals,Steel,Metals & Mining
SAMHI,Samhi Hotels Limited,Consumer Cyclical,Hospitality,Hotels & Lodging,Hospitality & Travel
